,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tuktoyaktuk,90,CA,1580836288,75,69.45,-133.04,-18.39999999999995,5.7
1,Umm Lajj,0,SA,1580836289,64,25.02,37.27,62.708000000000006,2.25
2,Miraflores,40,MX,1580836289,42,19.22,-98.81,73.4,7.7
3,San Patricio,75,MX,1580836290,78,19.22,-104.7,77.0,1.39
4,Norman Wells,40,CA,1580836291,75,65.28,-126.83,-20.199999999999953,2.6
5,Hilo,90,US,1580836292,68,19.73,-155.09,66.2,3.6
6,Tautira,20,PF,1580836293,83,-17.73,-149.15,78.80000000000001,1.5
7,Sadove,90,UA,1580836293,93,46.25,30.18,44.6,8.0
8,Volksrust,63,ZA,1580836294,58,-27.37,29.88,66.41600000000001,2.67
9,Thompson,20,CA,1580836295,75,55.74,-97.86,-18.39999999999995,2.1
10,Avera,75,US,1580836295,68,33.19,-82.53,68.0,3.6
11,Sitka,90,US,1580836064,93,57.05,-135.33,37.4,3.6
12,Tiksi,98,RU,1580836296,91,71.69,128.87,-27.687999999999946,2.31
13,Bad Doberan,40,DE,1580836297,86,54.11,11.9,42.008,7.7
14,Hamilton,90,US,1580836215,87,39.18,-84.53,57.2,2.6
15,Cherskiy,100,RU,1580836298,99,68.75,161.3,-31.377999999999965,1.73
16,Punta Arenas,75,CL,1580836223,54,-53.15,-70.92,57.00200000000008,9.3
17,Saskylakh,0,RU,1580836299,93,71.92,114.08,-29.613999999999983,4.69
18,Pisco,12,PE,1580836191,30,-13.7,-76.22,78.00800000000001,6.7
19,Phuket,20,TH,1580836300,61,8.0,98.25,80.6,4.6
20,Qaanaaq,0,GL,1580836301,55,77.48,-69.36,-20.487999999999943,2.8
21,Dikson,100,RU,1580836105,92,73.51,80.55,13.658000000000005,8.95
22,Vardo,36,NO,1580836302,72,70.37,31.11,14.0,9.3
23,East London,10,ZA,1580836137,55,-33.02,27.91,86.0,4.1
24,Albany,90,US,1580836205,80,42.6,-73.97,48.00200000000008,0.7
25,Busselton,0,AU,1580836304,25,-33.65,115.33,78.00800000000001,8.36
26,Ushuaia,75,AR,1580836304,71,-54.8,-68.3,51.8,12.9
27,Hermanus,21,ZA,1580836305,88,-34.42,19.23,71.00600000000003,3.58
28,Rikitea,14,PF,1580836306,75,-23.12,-134.97,80.02400000000002,5.2
29,Januaria,89,BR,1580836306,81,-15.48,-44.37,81.05000000000001,2.18
30,Igarka,100,RU,1580836307,86,67.47,86.58,-5.9079999999999515,10.65
31,Carnarvon,10,AU,1580836263,94,-24.87,113.63,77.0,2.6
32,Saint George,1,US,1580836308,31,37.1,-113.58,35.99600000000005,4.1
33,Torzhok,98,RU,1580836309,81,57.04,34.96,22.658,5.67
34,Tura,14,IN,1580836025,55,25.52,90.22,57.236000000000075,0.39
35,New Norfolk,35,AU,1580836158,71,-42.78,147.06,51.8,3.1
36,Mar del Plata,75,AR,1580836310,69,-38.0,-57.56,91.99400000000009,7.7
37,George Town,20,MY,1580836311,74,5.41,100.34,82.4,1.0
38,Laas,20,IT,1580836311,52,46.62,10.7,42.8,5.7
39,Koplik,75,AL,1580836312,100,42.21,19.44,57.2,1.0
40,Kumul,0,CN,1580836312,70,42.8,93.45,12.074000000000012,0.6
41,Port Augusta,0,AU,1580836312,59,-32.5,137.77,66.2,4.6
42,Butaritari,100,KI,1580836313,78,3.07,172.79,82.85,5.43
43,Owensboro,90,US,1580836314,100,37.77,-87.11,60.00800000000001,2.1
44,Nantucket,90,US,1580836314,81,41.28,-70.1,48.2,5.1
45,Morant Bay,40,JM,1580836315,55,17.88,-76.41,87.80000000000001,3.1
46,Makakilo City,1,US,1580836315,88,21.35,-158.09,73.4,1.5
47,Janakkala,33,FI,1580836316,73,60.83,24.67,24.008000000000003,3.1
48,Provideniya,100,RU,1580836316,82,64.38,-173.3,-10.461999999999954,9.69
49,Bakel,26,SN,1580836317,4,14.9,-12.46,92.75,3.07
50,Esim,53,GH,1580836317,64,4.87,-2.24,83.24600000000005,3.63
51,Dalbandin,0,PK,1580836318,38,28.89,64.41,48.34400000000008,2.59
52,Mataura,57,NZ,1580836318,81,-46.19,168.86,46.99400000000007,1.34
53,Castro,58,BR,1580836319,80,-24.79,-50.01,74.15600000000003,3.04
54,Puerto Ayora,20,EC,1580836319,62,-0.74,-90.35,87.80000000000001,6.2
55,Sinop,100,TR,1580836320,79,41.77,34.87,46.65200000000008,9.08
56,Lavrentiya,100,RU,1580836320,79,65.58,-171.0,-10.515999999999956,5.87
57,Bluff,34,NZ,1580836321,81,-46.6,168.33,46.99400000000007,1.34
58,Ilulissat,5,GL,1580836321,54,69.22,-51.1,1.3999999999999986,1.5
59,Kapaa,1,US,1580836263,88,22.08,-159.32,68.0,3.1
60,Fengzhen,0,CN,1580836323,55,40.44,113.15,9.572000000000035,1.0
61,Saint-Philippe,20,RE,1580836323,74,-21.36,55.77,80.6,11.3
62,Luau,100,AO,1580836324,97,-10.71,22.22,67.35200000000009,2.12
63,Yellowknife,20,CA,1580836324,66,62.46,-114.35,-25.00599999999998,2.6
64,Atuona,51,PF,1580836325,73,-9.8,-139.03,80.02400000000002,7.27
65,Tasiilaq,90,GL,1580836325,79,65.61,-37.64,28.4,15.9
66,Torbay,20,CA,1580836326,68,47.67,-52.73,33.998000000000026,9.3
67,Mayya,99,RU,1580836326,73,61.73,130.28,-32.799999999999955,2.0
68,Henties Bay,16,NA,1580836327,93,-22.12,14.28,64.99400000000009,1.34
69,Biak,0,ID,1580836327,76,-0.91,122.88,81.46400000000003,2.52
70,Nanortalik,90,GL,1580836328,71,60.14,-45.24,32.95400000000005,12.48
71,Arraial do Cabo,75,BR,1580836329,79,-22.97,-42.03,84.2,4.6
72,Kropotkin,38,RU,1580836329,77,45.44,40.58,35.99600000000005,3.63
73,Kununurra,100,AU,1580836330,94,-15.77,128.73,78.80000000000001,3.06
74,Tommot,93,RU,1580836330,99,58.96,126.29,-33.15999999999998,0.77
75,Big Rapids,1,US,1580836331,66,43.7,-85.48,35.00600000000003,4.6
76,Vaini,20,TO,1580836331,100,-21.2,-175.2,71.6,1.0
77,Tres Passos,0,BR,1580836332,56,-27.46,-53.93,89.00600000000003,0.89
78,Oranjemund,54,NA,1580836332,86,-28.55,16.43,65.80400000000006,5.0
79,Pangnirtung,75,CA,1580836333,49,66.15,-65.71,-2.199999999999953,2.89
80,Hobart,1,AU,1580836333,71,-42.88,147.33,51.8,3.1
81,Itoman,75,JP,1580836334,93,26.12,127.67,64.4,5.7
82,Santa Rosa,75,PH,1580835752,78,14.31,121.11,77.0,1.0
83,Kahului,20,US,1580836335,77,20.89,-156.47,69.00800000000001,2.6
84,Marzuq,0,YE,1580836335,65,14.4,46.47,65.51600000000002,2.49
85,Aguimes,54,ES,1580836336,19,27.91,-15.45,78.80000000000001,5.1
86,Kruisfontein,51,ZA,1580836338,70,-34.0,24.73,77.32400000000001,1.3
87,Angol,75,CL,1580836276,52,-37.8,-72.72,68.0,2.6
88,Saint Anthony,1,US,1580836339,52,45.02,-93.22,17.99600000000005,2.1
89,Cape Town,75,ZA,1580835621,88,-33.93,18.42,73.00400000000005,5.1
90,Eyl,35,SO,1580836340,74,7.98,49.82,77.28800000000004,10.66
91,Upernavik,0,GL,1580836341,78,72.79,-56.15,-17.823999999999963,3.61
92,Ascension,90,US,1580836342,78,30.22,-90.9,73.99400000000009,4.6
93,Ponta do Sol,20,PT,1580836342,68,32.67,-17.1,73.00400000000005,2.1
